copper loss(W),iron loss(W),eddy current loss(W),Overall tem rise（°C）,coil tem rise（°C）,Permanent magnet tem rise（°C）
700,244,128,118.9429033,105.6151395,92.49116451
700,244,164,122.9318632,115.7303348,101.4498046
700,244,200,126.9208231,125.8455302,110.4084447
700,300,20,113.1810723,91.00430174,79.55090659
700,300,56,117.1700322,101.1194971,88.50954669
700,300,92,121.1589921,111.2346924,97.46818679
700,300,128,125.147952,121.3498878,106.4268269
700,300,164,129.136912,131.4650831,115.385467
700,300,200,133.1258719,141.5802785,124.3441071
800,20,20,93.25920716,12.48648215,9.860959042
800,20,56,97.24816707,22.6016775,18.81959914
800,20,92,101.237127,32.71687285,27.77823924
800,20,128,105.2260869,42.8320682,36.73687933
800,20,164,109.2150468,52.94726355,45.69551943
800,20,200,113.2040067,63.0624589,54.65415952
800,76,20,99.46425591,28.22123047,23.79662141
800,76,56,103.4532158,38.33642582,32.75526151
800,76,92,107.4421758,48.45162117,41.71390161
800,76,128,111.4311357,58.56681653,50.6725417
800,76,164,115.4200956,68.68201187,59.63118179
800,76,200,119.4090555,78.79720723,68.5898219
800,132,20,105.6693047,43.9559788,37.73228379
800,132,56,109.6582646,54.07117414,46.69092388
800,132,92,113.6472245,64.1863695,55.64956398
800,132,128,117.6361844,74.30156485,64.60820408
800,132,164,121.6251444,84.4167602,73.56684417
800,132,200,125.6141043,94.53195555,82.52548427
800,188,20,111.8743534,59.69072712,51.66794616
800,188,56,115.8633134,69.80592247,60.62658625
800,188,92,119.8522733,79.92111782,69.58522635
800,188,128,123.8412332,90.03631317,78.54386645
800,188,164,127.8301931,100.1515085,87.50250655
800,188,200,131.819153,110.2667039,96.46114664
800,244,20,118.0794022,75.42547544,65.60360853
800,244,56,122.0683621,85.5406708,74.56224863
800,244,92,126.057322,95.65586614,83.52088872
800,244,128,130.046282,105.7710615,92.47952882
800,244,164,134.0352419,115.8862568,101.4381689
800,244,200,138.0242018,126.0014522,110.396809
800,300,20,124.284451,91.16022376,79.5392709
800,300,56,128.2734109,101.2754191,88.497911
800,300,92,132.2623708,111.3906145,97.45655109
800,300,128,136.2513307,121.5058098,106.4151912
800,300,164,140.2402906,131.6210052,115.3738313
800,300,200,144.2292506,141.7362005,124.3324714
